BillNo,Sn,ArriveDate,RecordDate
QZ0018610,0,961028,961102
QZ0018614,0,961028,961102
QZ0018621,0,961029,970122
QZ0018643,0,961030,961102
QZ0018644,0,961030,961102
QZ0018665,0,961030,961102
QZ0018675,0,961030,961102
QZ0018682,0,961030,961102
QZ0018701,0,961030,961102
QZ0018709,0,961030,961102
QZ0018710,0,961030,961102
QZ0018716,0,961030,961102
QZ0018771,0,961030,961102
QZ0018772,0,961030,961102
QZ0018834,0,961030,961102
QZ0018836,0,961030,961102
QZ0018851,0,961030,961102
QZ0018852,0,961030,961102
QZ0018853,0,961030,961102
QZ0018861,0,961030,961102
QZ0018862,0,961030,961102
QZ0018869,0,961030,961102
QZ0018907,0,961030,961102
QZ0018912,0,961030,961102
QZ0018925,0,961030,961102
QZ0018961,0,961121,961226
QZ0018962,0,961120,961204
QZ0018963,0,961121,961206
QZ0018964,0,961121,961226
QZ0018965,0,961122,961212
QZ0018966,0,961119,961130
QZ0018967,0,961121,961226
QZ0018968,0,961121,961226
QZ0018969,0,961122,961212
QZ0018970,0,961122,961212
QZ0018971,0,961122,961212
QZ0018972,0,961121,961226
QZ0018973,0,961119,961130
QZ0018974,0,961121,961226
QZ0018975,0,961119,961130
QZ0018976,0,961119,961130
QZ0018977,0,961120,961204
QZ0018978,0,961123,961212
QZ0018979,0,961119,961130
QZ0018980,0,961119,961130
QZ0018981,0,961119,961130
QZ0018982,0,970119,961210
QZ0018983,0,961121,961226
QZ0018984,0,961121,961226
QZ0018985,0,961121,961226
QZ0018986,0,961121,961226
QZ0018987,0,961121,961226
QZ0018988,0,961121,961226
QZ0018989,0,961121,961226
QZ0018990,0,961121,961226
QZ0018991,0,961121,961226
QZ0018992,0,961121,961226
QZ0018993,0,961120,961204
QZ0018994,0,961119,961130
QZ0018995,0,961121,961226
QZ0018996,0,961121,961226
QZ0018997,0,961120,961210
QZ0018998,0,961121,961226
QZ0018999,0,970119,961210
QZ0019000,0,961119,961130
QZ0019001,0,961119,961130
QZ0019002,0,961122,961212
QZ0019003,0,961119,961130
QZ0019004,0,961120,961210
QZ0019005,0,961120,961210
QZ0019006,0,961120,961210
QZ0019007,0,961119,961130
QZ0019008,0,961121,961226
QZ0019009,0,961120,961204
QZ0019010,0,961120,961204
QZ0019011,0,961119,961130
QZ0019012,0,961119,961130
QZ0019013,0,961119,961130
QZ0019014,0,961119,961130
QZ0019015,0,961121,961226
QZ0019016,0,961121,961226
QZ0019017,0,961120,961204
QZ0019018,0,961119,961130
QZ0019019,0,961119,961130
QZ0019020,0,961119,961130
QZ0019021,0,961119,961130
QZ0019022,0,961119,961130
QZ0019023,0,961119,961130
QZ0019024,0,961119,961130
QZ0019026,0,961120,961210
QZ0019027,0,961120,961210
QZ0019028,0,961120,961210
QZ0019030,0,961119,961130
QZ0019031,0,961121,961226
QZ0019033,0,961121,961226
QZ0019034,0,961121,961226
QZ0019035,0,961121,961226
QZ0019036,0,961119,961130
QZ0019037,0,961119,961130
QZ0019038,0,961119,961130
QZ0019039,0,961119,961130
QZ0019040,0,970119,961210
QZ0019041,0,970119,961210
QZ0019042,0,961119,961130
QZ0019043,0,961119,961130
QZ0019044,0,961121,961226
QZ0019045,0,961119,961130
QZ0019046,0,970119,961210
QZ0019047,0,961119,961130
QZ0019048,0,961119,961130
QZ0019049,0,961121,961226
QZ0019050,0,961121,961226
QZ0019052,0,961121,961226
QZ0019053,0,970119,961210
QZ0019054,0,961120,961210
QZ0019055,0,961120,961210
QZ0019056,0,961120,961210
QZ0019057,0,961122,961212
QZ0019058,0,961119,961130
QZ0019059,0,961121,961226
